Subject,Date,Body,filepath,Source
Zambia,2/15/24,"data protection [no. 3 of 2021 87 the data protection act, 2021 arrangement of sections part i preliminary provisions section 1. short title and commencement 2. interpretation 3. application part ii office of the data protection commissioner 4. establishment of office of data protection commissioner 5. data protection commissioner 6. appointment of deputy data protection commissioners and other staff part iii inspectorate 7. inspector 8. power of inspectors 9. arrest without warrant 10. seizure of property 11. restoration of property part iv principles and rules relating to processing of personal data 12. principles relating to processing of personal data 13. processing of personal data 14. processing of sensitive personal data 15. consent, justification and objection 16. collection of personal data 17. processing of child and vulnerable persons personal data 18. offence and penalty for contravention of personal data obligation single copies of this act may be obtained from the government printer, p.o. box 30136, 10101 lusaka, price k80.00 each.",https://www.parliament.gov.zm/sites/default/files/documents/acts/Act%20No.%203%20The%20Data%20Protection%20Act%202021_0.pdf,Data Protection Law
Zambia,2/15/24,"88 no. 3 of 2021] data protection part v regulation of data controllers, data processors and data auditors 19. prohibition from controlling or processing personal data without registration 20. application for registration as data processor or data controller 21. registration of data controller and data processor 22. renewal of certificate of registration 23. change in details of data controller or data processor 24. suspension and cancellation of registration 25. re-registration 26. surrender of certificate of registration 27. exemption from registration 28. power to forbear part vi data auditors 29. data auditors 30. application for licence 31. issue of licences 32. conditions of licence 33. variation of licence 34. surrender of licence 35. transfer of licence 36. suspension and cancellation 37. renewal of licence 38. functions of a data auditor part vii exemption from principles and rules of processing of data 39. national security, defence and public order 40. prevention, detection investigation and prosecution of contraventions of law 41. processing for purpose of legal proceedings",https://www.parliament.gov.zm/sites/default/files/documents/acts/Act%20No.%203%20The%20Data%20Protection%20Act%202021_0.pdf,Data Protection Law
Zambia,2/15/24,"42. research, archiving or statistical purpose 43. journalistic purpose 44. processing to be lawful and legitimate part viii duties of data controller and data processor 45. record of processing activities 46. data protection impact assessment 47. security of processing 48. appointment of data protection officer 49. notification of security breach 50. accountability 51. data retention 52. duties of data processor 53. non-disclosure of personal data 54. joint controllers 55. offence by data controller 56. personal data in legal proceedings 57. notification part ix rights of the data subject 58. right of access and notification 59. right to rectification 60. right to erasure 61. right of objection 62. decision taken on basis of automatic data processing 63. right to restriction of processing 64. information when personal data collected directly from data subject 65. right to data portability 66. notification obligation 67. derogation from rights 68. complaints 69. appeals data protection [no. 3 of 2021 89",https://www.parliament.gov.zm/sites/default/files/documents/acts/Act%20No.%203%20The%20Data%20Protection%20Act%202021_0.pdf,Data Protection Law
Zambia,2/15/24,"part x transfer of personal data outside the republic 70. crossborder transfer of personal data 71. conditions for crossborder transfer of personal data part xi general provisions 72. right to compensation 73. offences 74. power of data protection commissioner to compound certain offences 75. forfeiture 76. offence by principal officer, shareholder or partner of body corporate or unincorporate body 77. general penalty 78. code of conduct 79. guidelines 80. register 81. auditing of data controller 82. regulations 90 no. 3 of 2021] data protection",https://www.parliament.gov.zm/sites/default/files/documents/acts/Act%20No.%203%20The%20Data%20Protection%20Act%202021_0.pdf,Data Protection Law
Zambia,2/15/24,"enactment short title and commencement interpretation an act to provide an effective system for the use and protection of personal data; regulate the collection, use, transmission, storage and otherwise processing of personal data; establish the office of the data protection commissioner and provide for its functions; the registration of data controllers and licencing of data auditors; provide for the duties of data controllers and data processors; provide for the rights of data subjects; and provide for matters connected with, or incidental to, the foregoing. [24th march, 2021 enacted by the parliament of zambia. part i preliminary 1. this act may be cited as the data protection act, 2021, and shall come into operation on the date appointed by the minister by statutory instrument. 2. in this act, unless the context otherwise requires anonymisation means the process of removing direct and indirect personal identifiers that may lead to an individual being identified; government of zambia act no. 3 of 2021 date of assent: 23rd march, 2021 data protection [no. 3 of 2021 91",https://www.parliament.gov.zm/sites/default/files/documents/acts/Act%20No.%203%20The%20Data%20Protection%20Act%202021_0.pdf,Data Protection Law
Zambia,2/15/24,"authority means the zambia information communications and technology authority established by the information communications and technologies act, 2009; automated in relation to data, means electronically transmitted in whole or in part, by means of a data message in which the conduct of a data message of one or more parties are not reviewed by a natural person in the operation of the electronic system, in the ordinary course of that natural persons business or employment; biometric data means personal data resulting from scientific analysis relating to the physical, physiological or behavioural characteristics of a natural person, which confirm the unique identification of that natural person; child has the meaning assigned to the word in the constitution; child abuse includes physical and emotional neglect, physical injury, other than accidental injury, ill treatment and sexual abuse of a child; child abuse data means personal data consisting of information as to whether the child data subject is or has been thesubject of, or may be at risk of, child abuse; code of conduct means a data protection charter approved by the authority which regulates the conduct of a data controller or data processor, in order to ensure that the data controller or data processor of personal data complies with this act and any other applicable written law; commission means the competition and consumer protection commission established by the competition and consumer protection act, 2010; consent means any written, freely given, specific, informed and unambiguous indication of the data subjects wishes by which such data subject, by a statement or by a clear affirmative action, signifies agreement to the processing of personal data relating to that data subject; consumer has the meaning assigned to the word in the competition and consumer protection act, 2010; data means numbers, letters, alphabetic or numeric strings, symbols or codes in any form; cap. 1 act no. 24 of 2010 act no. 24 of 2010 act no. 15 of 2009 92 no. 3 of 2021] data protection",https://www.parliament.gov.zm/sites/default/files/documents/acts/Act%20No.%203%20The%20Data%20Protection%20Act%202021_0.pdf,Data Protection Law
Zambia,2/15/24,"data auditor means a person licensed as a data auditor under section 29; data controller means a person who, either alone or jointly with other persons,controls and is responsible for keeping and using personal data on a computer, or in structured manual files, and requests, collects, collates, processes or stores personal data from or in respect of a data subject; data processor means a person, or a private or public body that processes personal data for and on behalf of and under the instruction of a data controller; data protection commissioner means a person appointed as data protection commissioner under section 5; data retention means a process of retention of personal data for a specified purpose for a defined period; data subject means an individual from, or in respect of whom, personal information is processed; genetic data means any personal information relating to the inherited or acquired genetic characteristics of an individual which result from the analysis of a biological sample from the individual in question, in particular chromosomal deoxyribonucleic acid (dna) or ribonucleic acid (rna) analysis, or from the analysis of another element enabling equivalent information to be obtained; health practitioner has the meaning assigned to the word under the health professions act, 2009; independent broadcastingauthority means the independent broadcasting authority established by the independent broadcastingauthority act, 2002; information system means a system for the generation, sending, reception, storage, display or other processing of data messages, and includes the internet; joint controllers means two or more data controllers who jointly determine the purposes for which and the means by which personal data is processed; act no. 17 of 2002 act no. 24 of 2009 data protection [no. 3 of 2021 93",https://www.parliament.gov.zm/sites/default/files/documents/acts/Act%20No.%203%20The%20Data%20Protection%20Act%202021_0.pdf,Data Protection Law
Zambia,2/15/24,"law enforcement officer means (a) a police officer above the rank of sub-inspector; (b) an officer of the anti-corruption commission; (c) an officer of the drug enforcement commission; (d) an officer of the zambia security intelligence service; and (e) any other person appointed by the minister for purposes of this act; legally disqualified has the meaning assigned to the words in the mental health act, 2019; legal practitioner has the meaning assigned to the words in the legal practitioners act; meta data means data that describes other data; personal data means data which relates to an individual who can be directly or indirectly identified from that data which includes a name, an identification number, location data, an online identifier, or one or more factors specific to the physical, physiological, genetic, mental, economic, cultural or social identity of that natural person; processing means an operation or a set of operations which is or are performed on personal data, whether or not by automatic means, including the collection, recording or holding of the data or the carrying out of any operation or set of operations on data, including (a) organisation, adaptation or alteration of the data; (b) retrieval, consultation or use of the data; (c) alignment, combination, blocking, erasure or destruction of the data; or (d) disclosure of the information or data by transmission, dissemination or otherwise making available; profiling means any form of automated processing of personal data consisting of the use of personal data to evaluate certain personal aspects relating to a natural person, including analysis or prediction of the data subjects aspects concerning that natural persons performance at work, economic situation, health, personal preferences, interests, reliability, behaviour, location or movements; act no. 6 of 2019 cap. 30 94 no. 3 of 2021] data protection",https://www.parliament.gov.zm/sites/default/files/documents/acts/Act%20No.%203%20The%20Data%20Protection%20Act%202021_0.pdf,Data Protection Law
Zambia,2/15/24,"act no. 1 of 2018 pseudonymisation means the processing of personal data in such a manner that the personal data can no longer be attributed to a specific data subject without the use of additional information, where that additional information is kept separately and is subject to technical and organisational measures to ensure that the personal data is not attributed to an identified or identifiable natural person; public body has the meaning assigned to the words in the public finance management act, 2018; recipient means a person to whom data is disclosed, including an employee or agent of a data controller, a data processor or an employee or agent of a data processor in the course of processing the data for the data controller, but does not include a person to whom disclosure is or may be made as a result of, or with a view to, a particular inquiry by or on behalf of that person made in the exercise of any power conferred by law; register means the register kept and maintained under section 80; sensitive personal data means personal data which by its nature may be used to suppress the data subjects fundamental rights and freedoms and includes (a) the race, marital status, ethnic origin or sex of a data subject; (b) genetic data and biometric data; (c) child abuse data; (d) a data subjects political opinions; (e) a data subjects religious beliefs or other beliefs of a similar nature; (f) whether a data subject is a member of a trade union; or (g) a data subjects physical or mental health, or physical or mental condition; third party means a person other than (a) a data subject; (b) a data controller, or (c) a data processor or other person authorised to process data on behalf of data controller or data processor. data protection [no. 3 of 2021 95",https://www.parliament.gov.zm/sites/default/files/documents/acts/Act%20No.%203%20The%20Data%20Protection%20Act%202021_0.pdf,Data Protection Law
Zambia,2/15/24,"application establishment of office of data protection commissioner vulnerable person means a person aged 18 or above and whose ability to make informed decisions about their rights and well being is temporally or permanently impaired through physical or medically certified hindrance or impairment; and 3. (1) this act applies to the processing of personal data performed wholly or partly by automated means and to any processing otherwise than by electronic means. (2) this act does not apply to the processing of personal data by an individual for personal use. part ii office of the data protection commissioner 4. (1) there is established in the ministry responsible for communications the office of the data protection commissioner which is responsible for the regulation of data protection and privacy in the republic. (2) the functions of the office of the data protection commissioner are to (a) register controllers and data processors; (b) licence data auditors; (c) disseminate information and promotion of the participation of stakeholders in the process of data protection in the republic; (d) advise government on matters relating to data protection; (e) keep and maintain a register of data controllers, data processors and data auditors; (f)represent government internationally on matters relating to data protection; (g) conduct research and development relating to data protection; (h) ensure proper and effective coordination and collaboration with similar regional and international authorities; 96 no. 3 of 2021] data protection",https://www.parliament.gov.zm/sites/default/files/documents/acts/Act%20No.%203%20The%20Data%20Protection%20Act%202021_0.pdf,Data Protection Law
